,Date,Visitor,HG,Home,AG,winner
175,2021-02-08,New York Islanders,2,New York Rangers,0,0
176,2021-02-08,Edmonton Oilers,3,Ottawa Senators,1,0
177,2021-02-08,Arizona Coyotes,4,St. Louis Blues,3,0
178,2021-02-08,Vancouver Canucks,1,Toronto Maple Leafs,3,1
179,2021-02-09,Winnipeg Jets,2,Calgary Flames,3,1
180,2021-02-09,Chicago Blackhawks,2,Dallas Stars,1,0
181,2021-02-09,Detroit Red Wings,1,Florida Panthers,2,1
182,2021-02-09,San Jose Sharks,4,Los Angeles Kings,3,0
183,2021-02-09,Tampa Bay Lightning,6,Nashville Predators,1,0
184,2021-02-09,Edmonton Oilers,3,Ottawa Senators,2,0
185,2021-02-09,Anaheim Ducks,4,Vegas Golden Knights,5,1
186,2021-02-10,Toronto Maple Leafs,4,Montreal Canadiens,2,0
187,2021-02-10,Boston Bruins,3,New York Rangers,2,0
188,2021-02-11,Columbus Blue Jackets,6,Chicago Blackhawks,5,0
189,2021-02-11,Carolina Hurricanes,5,Dallas Stars,3,0
190,2021-02-11,Tampa Bay Lightning,2,Florida Panthers,5,1
191,2021-02-11,San Jose Sharks,2,Los Angeles Kings,6,1
192,2021-02-11,Edmonton Oilers,3,Montreal Canadiens,0,0
193,2021-02-11,Detroit Red Wings,2,Nashville Predators,3,1
194,2021-02-11,Pittsburgh Penguins,4,New York Islanders,3,0
195,2021-02-11,Calgary Flames,3,Vancouver Canucks,1,0
196,2021-02-11,Anaheim Ducks,1,Vegas Golden Knights,0,0
197,2021-02-11,Ottawa Senators,1,Winnipeg Jets,5,1
198,2021-02-12,St. Louis Blues,4,Arizona Coyotes,1,0
199,2021-02-12,Boston Bruins,1,New York Rangers,0,0
200,2021-02-13,St. Louis Blues,5,Arizona Coyotes,4,0
201,2021-02-13,Columbus Blue Jackets,2,Chicago Blackhawks,3,1
202,2021-02-13,Carolina Hurricanes,4,Dallas Stars,3,0
203,2021-02-13,Tampa Bay Lightning,6,Florida Panthers,1,0
204,2021-02-13,Detroit Red Wings,4,Nashville Predators,2,0
205,2021-02-13,Boston Bruins,2,New York Islanders,4,1
206,2021-02-13,Vegas Golden Knights,3,San Jose Sharks,1,0
207,2021-02-13,Montreal Canadiens,2,Toronto Maple Leafs,1,0
208,2021-02-13,Calgary Flames,1,Vancouver Canucks,3,1
209,2021-02-13,Ottawa Senators,2,Winnipeg Jets,1,0
210,2021-02-14,Washington Capitals,3,Pittsburgh Penguins,6,1
211,2021-02-14,Colorado Avalanche,0,Vegas Golden Knights,1,1
212,2021-02-15,St. Louis Blues,0,Arizona Coyotes,1,1
213,2021-02-15,New York Islanders,3,Buffalo Sabres,1,0
214,2021-02-15,Columbus Blue Jackets,3,Carolina Hurricanes,7,1
215,2021-02-15,Chicago Blackhawks,3,Detroit Red Wings,2,0
216,2021-02-15,Winnipeg Jets,6,Edmonton Oilers,5,0
217,2021-02-15,Anaheim Ducks,2,San Jose Sharks,3,1
218,2021-02-15,Florida Panthers,6,Tampa Bay Lightning,4,0
219,2021-02-15,Ottawa Senators,6,Toronto Maple Leafs,5,0
220,2021-02-15,Calgary Flames,4,Vancouver Canucks,3,0
221,2021-02-16,New York Islanders,3,Buffalo Sabres,0,0
222,2021-02-16,Minnesota Wild,0,Los Angeles Kings,4,1
223,2021-02-16,New Jersey Devils,5,New York Rangers,2,0
224,2021-02-16,Washington Capitals,3,Pittsburgh Penguins,1,0
225,2021-02-16,Colorado Avalanche,3,Vegas Golden Knights,2,0
226,2021-02-17,Florida Panthers,4,Carolina Hurricanes,3,0
227,2021-02-17,Vancouver Canucks,5,Calgary Flames,1,0
228,2021-02-17,Chicago Blackhawks,2,Detroit Red Wings,0,0
229,2021-02-17,Winnipeg Jets,2,Edmonton Oilers,3,1
230,2021-02-17,Ottawa Senators,1,Toronto Maple Leafs,2,1
231,2021-02-18,Minnesota Wild,3,Anaheim Ducks,1,0
232,2021-02-18,Los Angeles Kings,3,Arizona Coyotes,2,0
233,2021-02-18,New Jersey Devils,3,Boston Bruins,2,0
234,2021-02-18,Nashville Predators,0,Columbus Blue Jackets,3,1
235,2021-02-18,New York Rangers,3,Philadelphia Flyers,2,0
236,2021-02-18,New York Islanders,1,Pittsburgh Penguins,4,1
237,2021-02-18,San Jose Sharks,2,St. Louis Blues,3,1
238,2021-02-18,Ottawa Senators,3,Toronto Maple Leafs,7,1
239,2021-02-18,Buffalo Sabres,1,Washington Capitals,3,1
240,2021-02-19,Chicago Blackhawks,3,Carolina Hurricanes,5,1
241,2021-02-19,Edmonton Oilers,2,Calgary Flames,1,0
242,2021-02-19,Florida Panthers,7,Detroit Red Wings,2,0
243,2021-02-19,Winnipeg Jets,2,Vancouver Canucks,0,0
244,2021-02-20,Minnesota Wild,5,Anaheim Ducks,1,0
245,2021-02-20,Los Angeles Kings,4,Arizona Coyotes,2,0
246,2021-02-20,Tampa Bay Lightning,0,Carolina Hurricanes,4,1
247,2021-02-20,Nashville Predators,4,Columbus Blue Jackets,2,0
248,2021-02-20,Vegas Golden Knights,2,Colorado Avalanche,3,1
249,2021-02-20,Florida Panthers,1,Detroit Red Wings,2,1
250,2021-02-20,Calgary Flames,1,Edmonton Oilers,7,1
251,2021-02-20,Toronto Maple Leafs,5,Montreal Canadiens,3,0
252,2021-02-20,Buffalo Sabres,3,New Jersey Devils,2,0
253,2021-02-20,New York Islanders,2,Pittsburgh Penguins,3,1
254,2021-02-20,San Jose Sharks,5,St. Louis Blues,4,0
255,2021-02-20,New York Rangers,4,Washington Capitals,1,0
256,2021-02-21,Philadelphia Flyers,3,Boston Bruins,7,1
257,2021-02-21,Montreal Canadiens,2,Ottawa Senators,3,1
258,2021-02-21,Winnipeg Jets,4,Vancouver Canucks,3,0
259,2021-02-21,New Jersey Devils,3,Washington Capitals,4,1
260,2021-02-22,Anaheim Ducks,3,Arizona Coyotes,4,1
261,2021-02-22,Tampa Bay Lightning,4,Carolina Hurricanes,2,0
262,2021-02-22,Vegas Golden Knights,3,Colorado Avalanche,0,0
263,2021-02-22,Dallas Stars,1,Florida Panthers,3,1
264,2021-02-22,Buffalo Sabres,2,New York Islanders,3,1
265,2021-02-22,Minnesota Wild,6,San Jose Sharks,2,0
266,2021-02-22,Los Angeles Kings,3,St. Louis Blues,0,0
267,2021-02-22,Calgary Flames,3,Toronto Maple Leafs,0,0
268,2021-02-23,Chicago Blackhawks,6,Columbus Blue Jackets,5,0
269,2021-02-23,Nashville Predators,2,Detroit Red Wings,0,0
270,2021-02-23,Buffalo Sabres,4,New Jersey Devils,1,0
271,2021-02-23,Montreal Canadiens,4,Ottawa Senators,5,1
272,2021-02-23,Edmonton Oilers,4,Vancouver Canucks,3,0
273,2021-02-23,Pittsburgh Penguins,3,Washington Capitals,2,0
274,2021-02-24,Anaheim Ducks,3,Arizona Coyotes,4,1
275,2021-02-24,Minnesota Wild,6,Colorado Avalanche,2,0
276,2021-02-24,Dallas Stars,3,Florida Panthers,0,0
277,2021-02-24,New York Rangers,3,Philadelphia Flyers,4,1
278,2021-02-24,Los Angeles Kings,2,St. Louis Blues,1,0
279,2021-02-24,Carolina Hurricanes,0,Tampa Bay Lightning,3,1
280,2021-02-24,Calgary Flames,1,Toronto Maple Leafs,2,1
281,2021-02-25,New Jersey Devils,4,Buffalo Sabres,3,0
282,2021-02-25,Chicago Blackhawks,2,Columbus Blue Jackets,0,0
283,2021-02-25,Nashville Predators,2,Detroit Red Wings,5,1
284,2021-02-25,Dallas Stars,2,Florida Panthers,3,1
285,2021-02-25,Boston Bruins,2,New York Islanders,7,1
286,2021-02-25,Calgary Flames,1,Ottawa Senators,6,1
287,2021-02-25,Carolina Hurricanes,1,Tampa Bay Lightning,3,1
288,2021-02-25,Edmonton Oilers,3,Vancouver Canucks,0,0
289,2021-02-25,Montreal Canadiens,3,Winnipeg Jets,6,1
290,2021-02-25,Pittsburgh Penguins,2,Washington Capitals,5,1
291,2021-02-26,Colorado Avalanche,3,Arizona Coyotes,2,0
292,2021-02-26,Los Angeles Kings,1,Minnesota Wild,3,1
293,2021-02-26,Boston Bruins,2,New York Rangers,6,1
294,2021-02-27,Vegas Golden Knights,3,Anaheim Ducks,2,0
295,2021-02-27,Colorado Avalanche,6,Arizona Coyotes,2,0
296,2021-02-27,Philadelphia Flyers,3,Buffalo Sabres,0,0
297,2021-02-27,Detroit Red Wings,5,Chicago Blackhawks,3,0
298,2021-02-27,Toronto Maple Leafs,4,Edmonton Oilers,0,0
299,2021-02-27,Carolina Hurricanes,4,Florida Panthers,3,0
300,2021-02-27,Los Angeles Kings,3,Minnesota Wild,4,1
301,2021-02-27,Washington Capitals,5,New Jersey Devils,2,0
302,2021-02-27,Columbus Blue Jackets,1,Nashville Predators,2,1
303,2021-02-27,Pittsburgh Penguins,4,New York Islanders,3,0
304,2021-02-27,Calgary Flames,6,Ottawa Senators,3,0
305,2021-02-27,St. Louis Blues,7,San Jose Sharks,6,0
306,2021-02-27,Dallas Stars,0,Tampa Bay Lightning,5,1
307,2021-02-27,Montreal Canadiens,1,Winnipeg Jets,2,1
308,2021-02-28,Philadelphia Flyers,3,Buffalo Sabres,0,0
309,2021-02-28,Detroit Red Wings,2,Chicago Blackhawks,7,1
310,2021-02-28,Washington Capitals,3,New Jersey Devils,2,0
311,2021-02-28,Columbus Blue Jackets,1,Nashville Predators,3,1
312,2021-02-28,Pittsburgh Penguins,0,New York Islanders,2,1
313,2021-02-28,Boston Bruins,4,New York Rangers,1,0
314,2021-03-01,St. Louis Blues,5,Anaheim Ducks,4,0
315,2021-03-01,Toronto Maple Leafs,3,Edmonton Oilers,0,0
316,2021-03-01,Carolina Hurricanes,3,Florida Panthers,2,0
317,2021-03-01,Calgary Flames,1,Ottawa Senators,5,1
318,2021-03-01,Colorado Avalanche,2,San Jose Sharks,6,1
319,2021-03-01,Minnesota Wild,4,Vegas Golden Knights,5,1
320,2021-03-01,Vancouver Canucks,4,Winnipeg Jets,0,0
321,2021-03-02,Detroit Red Wings,1,Columbus Blue Jackets,4,1
322,2021-03-02,Tampa Bay Lightning,2,Dallas Stars,0,0
323,2021-03-02,Ottawa Senators,1,Montreal Canadiens,3,1
324,2021-03-02,New York Islanders,2,New Jersey Devils,1,0
325,2021-03-02,Carolina Hurricanes,4,Nashville Predators,2,0
326,2021-03-02,Buffalo Sabres,2,New York Rangers,3,1
327,2021-03-02,Philadelphia Flyers,2,Pittsburgh Penguins,5,1
328,2021-03-02,Vancouver Canucks,2,Winnipeg Jets,5,1
329,2021-03-03,St. Louis Blues,3,Anaheim Ducks,2,0
330,2021-03-03,Washington Capitals,2,Boston Bruins,1,0
331,2021-03-03,Toronto Maple Leafs,6,Edmonton Oilers,1,0
332,2021-03-03,Arizona Coyotes,3,Los Angeles Kings,2,0
333,2021-03-03,Colorado Avalanche,4,San Jose Sharks,0,0
334,2021-03-03,Minnesota Wild,1,Vegas Golden Knights,5,1
335,2021-03-04,Detroit Red Wings,2,Carolina Hurricanes,5,1
336,2021-03-04,Ottawa Senators,3,Calgary Flames,7,1
337,2021-03-04,Tampa Bay Lightning,3,Chicago Blackhawks,2,0
338,2021-03-04,Columbus Blue Jackets,3,Dallas Stars,2,0
339,2021-03-04,Winnipeg Jets,4,Montreal Canadiens,3,0
340,2021-03-04,New York Rangers,6,New Jersey Devils,1,0
341,2021-03-04,Florida Panthers,5,Nashville Predators,4,0
342,2021-03-04,Buffalo Sabres,2,New York Islanders,5,1
343,2021-03-04,Philadelphia Flyers,4,Pittsburgh Penguins,3,0
344,2021-03-04,Toronto Maple Leafs,1,Vancouver Canucks,3,1
345,2021-03-05,Minnesota Wild,5,Arizona Coyotes,1,0
346,2021-03-05,Washington Capitals,1,Boston Bruins,5,1
347,2021-03-05,Tampa Bay Lightning,3,Chicago Blackhawks,4,1
348,2021-03-05,Anaheim Ducks,2,Colorado Avalanche,3,1
349,2021-03-05,St. Louis Blues,3,Los Angeles Kings,2,0
350,2021-03-05,Vegas Golden Knights,5,San Jose Sharks,4,0
351,2021-03-06,Minnesota Wild,2,Arizona Coyotes,5,1
352,2021-03-06,Anaheim Ducks,5,Colorado Avalanche,4,0
353,2021-03-06,Columbus Blue Jackets,0,Dallas Stars,5,1
354,2021-03-06,Calgary Flames,2,Edmonton Oilers,3,1
355,2021-03-06,St. Louis Blues,3,Los Angeles Kings,4,1
356,2021-03-06,Winnipeg Jets,1,Montreal Canadiens,7,1
357,2021-03-06,New York Rangers,6,New Jersey Devils,3,0
358,2021-03-06,Florida Panthers,6,Nashville Predators,2,0
359,2021-03-06,Buffalo Sabres,2,New York Islanders,5,1
360,2021-03-06,Philadelphia Flyers,3,Pittsburgh Penguins,4,1
361,2021-03-06,Vegas Golden Knights,4,San Jose Sharks,0,0
362,2021-03-06,Toronto Maple Leafs,2,Vancouver Canucks,4,1
363,2021-03-07,New Jersey Devils,1,Boston Bruins,0,0
364,2021-03-07,Florida Panthers,2,Carolina Hurricanes,4,1
365,2021-03-07,Ottawa Senators,4,Calgary Flames,3,0
366,2021-03-07,Tampa Bay Lightning,6,Chicago Blackhawks,3,0
367,2021-03-07,Nashville Predators,4,Dallas Stars,3,0
368,2021-03-07,Buffalo Sabres,2,New York Islanders,5,1
369,2021-03-07,Washington Capitals,3,Philadelphia Flyers,1,0
370,2021-03-07,New York Rangers,1,Pittsburgh Penguins,5,1
371,2021-03-08,Los Angeles Kings,5,Anaheim Ducks,6,1
372,2021-03-08,Arizona Coyotes,3,Colorado Avalanche,2,0
373,2021-03-08,Ottawa Senators,2,Edmonton Oilers,3,1
374,2021-03-08,Vegas Golden Knights,0,Minnesota Wild,2,1
375,2021-03-08,St. Louis Blues,2,San Jose Sharks,3,1
376,2021-03-08,Montreal Canadiens,1,Vancouver Canucks,2,1
377,2021-03-09,Nashville Predators,2,Carolina Hurricanes,3,1
378,2021-03-09,Florida Panthers,4,Columbus Blue Jackets,2,0
379,2021-03-09,Chicago Blackhawks,1,Dallas Stars,6,1
380,2021-03-09,Tampa Bay Lightning,4,Detroit Red Wings,3,0
381,2021-03-09,Boston Bruins,1,New York Islanders,2,1
382,2021-03-09,Buffalo Sabres,4,Philadelphia Flyers,5,1
383,2021-03-09,New York Rangers,2,Pittsburgh Penguins,4,1
384,2021-03-09,Winnipeg Jets,4,Toronto Maple Leafs,3,0
385,2021-03-09,New Jersey Devils,4,Washington Capitals,5,1
386,2021-03-10,Los Angeles Kings,5,Anaheim Ducks,1,0
387,2021-03-10,Arizona Coyotes,1,Colorado Avalanche,2,1
388,2021-03-10,Ottawa Senators,1,Edmonton Oilers,7,1
389,2021-03-10,Vegas Golden Knights,3,Minnesota Wild,4,1
390,2021-03-10,Montreal Canadiens,5,Vancouver Canucks,1,0
391,2021-03-11,New York Rangers,0,Boston Bruins,4,1
392,2021-03-11,Pittsburgh Penguins,5,Buffalo Sabres,2,0
393,2021-03-11,Nashville Predators,1,Carolina Hurricanes,5,1
394,2021-03-11,Florida Panthers,5,Columbus Blue Jackets,4,0
395,2021-03-11,Montreal Canadiens,1,Calgary Flames,2,1
396,2021-03-11,Chicago Blackhawks,4,Dallas Stars,2,0
397,2021-03-11,Tampa Bay Lightning,4,Detroit Red Wings,6,1
398,2021-03-11,New Jersey Devils,3,New York Islanders,5,1
399,2021-03-11,Washington Capitals,5,Philadelphia Flyers,3,0
400,2021-03-11,Winnipeg Jets,3,Toronto Maple Leafs,4,1
401,2021-03-12,San Jose Sharks,6,Anaheim Ducks,0,0
402,2021-03-12,Los Angeles Kings,0,Colorado Avalanche,2,1
403,2021-03-12,Ottawa Senators,2,Edmonton Oilers,6,1
404,2021-03-12,Arizona Coyotes,0,Minnesota Wild,4,1
405,2021-03-12,Vegas Golden Knights,5,St. Louis Blues,4,0
