,Date,Visitor,HG,Home,AG,winner
0,2021-01-13,St. Louis Blues,4,Colorado Avalanche,1,0
1,2021-01-13,Vancouver Canucks,5,Edmonton Oilers,3,0
2,2021-01-13,Pittsburgh Penguins,3,Philadelphia Flyers,6,1
3,2021-01-13,Chicago Blackhawks,1,Tampa Bay Lightning,5,1
4,2021-01-13,Montreal Canadiens,4,Toronto Maple Leafs,5,1
5,2021-01-14,San Jose Sharks,4,Arizona Coyotes,3,0
6,2021-01-14,Washington Capitals,6,Buffalo Sabres,4,0
7,2021-01-14,Carolina Hurricanes,3,Detroit Red Wings,0,0
8,2021-01-14,Vancouver Canucks,2,Edmonton Oilers,5,1
9,2021-01-14,Minnesota Wild,4,Los Angeles Kings,3,0
10,2021-01-14,Boston Bruins,3,New Jersey Devils,2,0
11,2021-01-14,Columbus Blue Jackets,1,Nashville Predators,3,1
12,2021-01-14,New York Islanders,4,New York Rangers,0,0
13,2021-01-14,Anaheim Ducks,2,Vegas Golden Knights,5,1
14,2021-01-14,Calgary Flames,3,Winnipeg Jets,4,1
15,2021-01-15,Washington Capitals,2,Buffalo Sabres,1,0
16,2021-01-15,St. Louis Blues,0,Colorado Avalanche,8,1
17,2021-01-15,Toronto Maple Leafs,3,Ottawa Senators,5,1
18,2021-01-15,Pittsburgh Penguins,2,Philadelphia Flyers,5,1
19,2021-01-15,Chicago Blackhawks,2,Tampa Bay Lightning,5,1
20,2021-01-16,San Jose Sharks,3,Arizona Coyotes,5,1
21,2021-01-16,Vancouver Canucks,0,Calgary Flames,3,1
22,2021-01-16,Carolina Hurricanes,2,Detroit Red Wings,4,1
23,2021-01-16,Montreal Canadiens,5,Edmonton Oilers,1,0
24,2021-01-16,Minnesota Wild,4,Los Angeles Kings,3,0
25,2021-01-16,Boston Bruins,1,New Jersey Devils,2,1
26,2021-01-16,Columbus Blue Jackets,2,Nashville Predators,5,1
27,2021-01-16,New York Islanders,0,New York Rangers,5,1
28,2021-01-16,Toronto Maple Leafs,3,Ottawa Senators,2,0
29,2021-01-16,Anaheim Ducks,1,Vegas Golden Knights,2,1
30,2021-01-17,Chicago Blackhawks,2,Florida Panthers,5,1
31,2021-01-17,Washington Capitals,3,Pittsburgh Penguins,4,1
32,2021-01-18,Minnesota Wild,0,Anaheim Ducks,1,1
33,2021-01-18,Vancouver Canucks,2,Calgary Flames,5,1
34,2021-01-18,Columbus Blue Jackets,3,Detroit Red Wings,2,0
35,2021-01-18,Montreal Canadiens,3,Edmonton Oilers,1,0
36,2021-01-18,Carolina Hurricanes,4,Nashville Predators,2,0
37,2021-01-18,Boston Bruins,0,New York Islanders,1,1
38,2021-01-18,Buffalo Sabres,6,Philadelphia Flyers,1,0
39,2021-01-18,San Jose Sharks,4,St. Louis Blues,5,1
40,2021-01-18,Winnipeg Jets,1,Toronto Maple Leafs,3,1
41,2021-01-18,Arizona Coyotes,2,Vegas Golden Knights,4,1
42,2021-01-19,Columbus Blue Jackets,2,Detroit Red Wings,3,1
43,2021-01-19,Chicago Blackhawks,4,Florida Panthers,5,1
44,2021-01-19,Colorado Avalanche,3,Los Angeles Kings,2,0
45,2021-01-19,New Jersey Devils,4,New York Rangers,3,0
46,2021-01-19,Winnipeg Jets,4,Ottawa Senators,3,0
47,2021-01-19,Buffalo Sabres,0,Philadelphia Flyers,3,1
48,2021-01-19,Washington Capitals,4,Pittsburgh Penguins,5,1
49,2021-01-20,Minnesota Wild,3,Anaheim Ducks,2,0
50,2021-01-20,San Jose Sharks,2,St. Louis Blues,1,0
51,2021-01-20,Edmonton Oilers,3,Toronto Maple Leafs,1,0
52,2021-01-20,Montreal Canadiens,5,Vancouver Canucks,6,1
53,2021-01-20,Arizona Coyotes,2,Vegas Golden Knights,5,1
54,2021-01-21,Philadelphia Flyers,4,Boston Bruins,5,1
55,2021-01-21,Tampa Bay Lightning,3,Columbus Blue Jackets,2,0
56,2021-01-21,Colorado Avalanche,2,Los Angeles Kings,4,1
57,2021-01-21,New Jersey Devils,1,New York Islanders,4,1
58,2021-01-21,Winnipeg Jets,4,Ottawa Senators,1,0
59,2021-01-21,Montreal Canadiens,7,Vancouver Canucks,3,0
60,2021-01-22,Colorado Avalanche,3,Anaheim Ducks,2,0
61,2021-01-22,Vegas Golden Knights,2,Arizona Coyotes,5,1
62,2021-01-22,Detroit Red Wings,1,Chicago Blackhawks,4,1
63,2021-01-22,Nashville Predators,0,Dallas Stars,7,1
64,2021-01-22,San Jose Sharks,1,Minnesota Wild,4,1
65,2021-01-22,New York Rangers,3,Pittsburgh Penguins,4,1
66,2021-01-22,Edmonton Oilers,2,Toronto Maple Leafs,4,1
67,2021-01-22,Buffalo Sabres,3,Washington Capitals,4,1
68,2021-01-23,Philadelphia Flyers,1,Boston Bruins,6,1
69,2021-01-23,Tampa Bay Lightning,2,Columbus Blue Jackets,5,1
70,2021-01-23,Los Angeles Kings,2,St. Louis Blues,4,1
71,2021-01-23,Montreal Canadiens,5,Vancouver Canucks,2,0
72,2021-01-23,Ottawa Senators,3,Winnipeg Jets,6,1
73,2021-01-24,Colorado Avalanche,1,Anaheim Ducks,3,1
74,2021-01-24,Vegas Golden Knights,1,Arizona Coyotes,0,0
75,2021-01-24,Toronto Maple Leafs,3,Calgary Flames,2,0
76,2021-01-24,Detroit Red Wings,2,Chicago Blackhawks,6,1
77,2021-01-24,Nashville Predators,2,Dallas Stars,3,1
78,2021-01-24,San Jose Sharks,5,Minnesota Wild,3,0
79,2021-01-24,New York Islanders,0,New Jersey Devils,2,1
80,2021-01-24,New York Rangers,2,Pittsburgh Penguins,3,1
81,2021-01-24,Los Angeles Kings,6,St. Louis Blues,3,0
82,2021-01-24,Edmonton Oilers,4,Winnipeg Jets,3,0
83,2021-01-24,Buffalo Sabres,4,Washington Capitals,3,0
84,2021-01-25,Ottawa Senators,1,Vancouver Canucks,7,1
85,2021-01-26,Anaheim Ducks,1,Arizona Coyotes,0,0
86,2021-01-26,Pittsburgh Penguins,2,Boston Bruins,3,1
87,2021-01-26,New York Rangers,2,Buffalo Sabres,3,1
88,2021-01-26,Florida Panthers,4,Columbus Blue Jackets,3,0
89,2021-01-26,Toronto Maple Leafs,4,Calgary Flames,3,0
90,2021-01-26,San Jose Sharks,3,Colorado Avalanche,7,1
91,2021-01-26,Detroit Red Wings,1,Dallas Stars,2,1
92,2021-01-26,Los Angeles Kings,2,Minnesota Wild,1,0
93,2021-01-26,Philadelphia Flyers,5,New Jersey Devils,3,0
94,2021-01-26,Chicago Blackhawks,2,Nashville Predators,3,1
95,2021-01-26,St. Louis Blues,5,Vegas Golden Knights,4,0
96,2021-01-26,Edmonton Oilers,4,Winnipeg Jets,6,1
97,2021-01-26,New York Islanders,2,Washington Capitals,3,1
98,2021-01-27,Chicago Blackhawks,1,Nashville Predators,2,1
99,2021-01-27,Ottawa Senators,1,Vancouver Canucks,5,1
100,2021-01-28,Anaheim Ducks,2,Arizona Coyotes,3,1
101,2021-01-28,Pittsburgh Penguins,1,Boston Bruins,4,1
102,2021-01-28,New York Rangers,3,Buffalo Sabres,2,0
103,2021-01-28,Tampa Bay Lightning,0,Carolina Hurricanes,1,1
104,2021-01-28,Florida Panthers,2,Columbus Blue Jackets,3,1
105,2021-01-28,San Jose Sharks,0,Colorado Avalanche,3,1
106,2021-01-28,Detroit Red Wings,3,Dallas Stars,7,1
107,2021-01-28,Toronto Maple Leafs,4,Edmonton Oilers,3,0
108,2021-01-28,Los Angeles Kings,3,Minnesota Wild,5,1
109,2021-01-28,Calgary Flames,2,Montreal Canadiens,4,1
110,2021-01-28,Philadelphia Flyers,3,New Jersey Devils,1,0
111,2021-01-28,Ottawa Senators,1,Vancouver Canucks,4,1
112,2021-01-28,New York Islanders,3,Washington Capitals,6,1
113,2021-01-29,Columbus Blue Jackets,2,Chicago Blackhawks,1,0
114,2021-01-30,St. Louis Blues,6,Anaheim Ducks,1,0
115,2021-01-30,New Jersey Devils,3,Buffalo Sabres,4,1
116,2021-01-30,Dallas Stars,1,Carolina Hurricanes,4,1
117,2021-01-30,Florida Panthers,3,Detroit Red Wings,2,0
118,2021-01-30,Toronto Maple Leafs,3,Edmonton Oilers,4,1
119,2021-01-30,Colorado Avalanche,5,Minnesota Wild,1,0
120,2021-01-30,Calgary Flames,2,Montreal Canadiens,0,0
121,2021-01-30,Pittsburgh Penguins,5,New York Rangers,4,0
122,2021-01-30,New York Islanders,2,Philadelphia Flyers,3,1
123,2021-01-30,Nashville Predators,3,Tampa Bay Lightning,4,1
124,2021-01-30,Vancouver Canucks,4,Winnipeg Jets,1,0
125,2021-01-30,Boston Bruins,3,Washington Capitals,4,1
126,2021-01-31,St. Louis Blues,4,Anaheim Ducks,1,0
127,2021-01-31,New Jersey Devils,5,Buffalo Sabres,3,0
128,2021-01-31,Dallas Stars,3,Carolina Hurricanes,4,1
129,2021-01-31,Columbus Blue Jackets,1,Chicago Blackhawks,3,1
130,2021-01-31,Florida Panthers,3,Detroit Red Wings,2,0
131,2021-01-31,Ottawa Senators,5,Edmonton Oilers,8,1
132,2021-01-31,Colorado Avalanche,3,Minnesota Wild,4,1
133,2021-01-31,New York Islanders,3,Philadelphia Flyers,4,1
134,2021-02-01,Vancouver Canucks,2,Montreal Canadiens,6,1
135,2021-02-01,Pittsburgh Penguins,1,New York Rangers,3,1
136,2021-02-01,Nashville Predators,2,Tampa Bay Lightning,5,1
137,2021-02-01,Calgary Flames,4,Winnipeg Jets,3,0
138,2021-02-01,Boston Bruins,5,Washington Capitals,3,0
139,2021-02-02,Dallas Stars,6,Columbus Blue Jackets,3,0
140,2021-02-02,Carolina Hurricanes,4,Chicago Blackhawks,3,0
141,2021-02-02,Minnesota Wild,1,Colorado Avalanche,2,1
142,2021-02-02,Ottawa Senators,2,Edmonton Oilers,4,1
143,2021-02-02,Anaheim Ducks,3,Los Angeles Kings,1,0
144,2021-02-02,Vancouver Canucks,3,Montreal Canadiens,5,1
145,2021-02-02,Arizona Coyotes,3,St. Louis Blues,4,1
146,2021-02-02,Calgary Flames,2,Winnipeg Jets,3,1
147,2021-02-03,Boston Bruins,4,Philadelphia Flyers,3,0
148,2021-02-03,Detroit Red Wings,1,Tampa Bay Lightning,5,1
149,2021-02-04,Dallas Stars,3,Columbus Blue Jackets,4,1
150,2021-02-04,Carolina Hurricanes,4,Chicago Blackhawks,6,1
151,2021-02-04,Nashville Predators,6,Florida Panthers,5,0
152,2021-02-04,Ottawa Senators,3,Montreal Canadiens,2,0
153,2021-02-04,Washington Capitals,2,New York Rangers,4,1
154,2021-02-04,Arizona Coyotes,4,St. Louis Blues,3,0
155,2021-02-04,Vancouver Canucks,3,Toronto Maple Leafs,7,1
156,2021-02-04,Calgary Flames,1,Winnipeg Jets,4,1
157,2021-02-05,San Jose Sharks,5,Anaheim Ducks,4,0
158,2021-02-05,Nashville Predators,1,Florida Panthers,2,1
159,2021-02-05,Boston Bruins,2,Philadelphia Flyers,1,0
160,2021-02-05,Detroit Red Wings,1,Tampa Bay Lightning,3,1
161,2021-02-05,Los Angeles Kings,2,Vegas Golden Knights,5,1
162,2021-02-06,San Jose Sharks,1,Anaheim Ducks,2,1
163,2021-02-06,Edmonton Oilers,4,Calgary Flames,6,1
164,2021-02-06,Pittsburgh Penguins,3,New York Islanders,4,1
165,2021-02-06,Montreal Canadiens,2,Ottawa Senators,1,0
166,2021-02-06,Arizona Coyotes,3,St. Louis Blues,1,0
167,2021-02-06,Vancouver Canucks,1,Toronto Maple Leafs,5,1
168,2021-02-07,Carolina Hurricanes,6,Columbus Blue Jackets,5,0
169,2021-02-07,Chicago Blackhawks,2,Dallas Stars,1,0
170,2021-02-07,Detroit Red Wings,4,Florida Panthers,1,0
171,2021-02-07,Los Angeles Kings,3,Vegas Golden Knights,4,1
172,2021-02-07,Philadelphia Flyers,7,Washington Capitals,4,0
173,2021-02-08,Carolina Hurricanes,2,Columbus Blue Jackets,3,1
174,2021-02-08,Tampa Bay Lightning,4,Nashville Predators,1,0
